226,14,3,12,1,14,18,19,28,3,18,20,7,11,3,21,7,7,1,0,10,2,2,9,3,0
11,201,22,15,2,7,10,1,2,0,24,6,11,1,8,51,7,21,9,2,0,0,1,13,3,7
0,1,401,0,1,30,13,0,0,4,3,32,0,1,4,6,1,0,16,2,3,0,0,0,0,0
6,4,9,248,0,4,9,0,1,6,11,5,1,3,13,32,14,0,2,3,16,1,1,2,4,1
1,28,29,7,85,126,11,0,1,2,2,7,2,0,0,54,2,1,6,0,0,0,0,0,1,0
0,1,23,4,48,246,1,1,2,7,4,1,7,0,0,52,2,0,4,6,0,0,0,0,2,8
4,7,10,0,1,25,209,7,1,0,3,23,1,1,3,9,16,0,0,0,45,4,20,0,0,0
6,0,0,0,0,1,1,184,8,1,15,9,6,10,0,2,0,1,0,0,26,56,62,5,9,0
0,0,0,9,0,11,0,0,293,84,1,276,0,0,0,0,0,0,20,74,0,0,0,2,15,30
0,0,0,13,0,9,0,0,2,272,1,3,1,2,0,0,0,0,18,92,0,0,0,0,3,10
2,1,7,3,2,3,0,7,4,0,215,33,4,3,1,6,0,1,2,0,5,10,21,24,23,0
1,0,2,5,0,1,1,0,21,1,1,449,0,0,1,0,0,0,0,0,8,0,3,0,2,0
24,5,7,2,4,3,0,27,0,0,44,0,188,33,2,1,0,5,0,5,40,9,56,0,5,0
10,3,6,11,1,0,1,62,0,2,14,9,19,151,3,3,2,1,0,0,69,27,33,4,8,0
7,0,86,37,0,4,50,4,1,4,6,0,1,4,149,18,66,2,6,0,12,0,2,0,0,0
3,2,5,28,4,14,5,1,0,8,4,6,1,1,3,324,22,4,1,3,7,9,0,1,5,6
4,7,3,20,0,7,72,0,0,3,0,5,4,1,11,37,249,1,0,0,23,0,4,0,1,0
6,88,16,11,10,14,8,2,3,1,18,8,10,0,0,142,9,80,0,1,2,0,4,3,5,5
1,6,22,36,1,72,7,0,6,27,0,12,3,1,1,4,1,0,235,4,0,0,4,0,1,1
0,0,3,0,0,7,0,1,2,19,2,0,8,1,0,0,0,0,2,419,0,0,0,0,2,3
0,2,1,2,0,0,4,18,0,4,0,11,0,4,0,0,2,1,0,0,326,38,43,0,2,0
0,0,0,3,0,1,1,8,3,14,8,14,1,10,0,3,0,0,1,0,47,279,21,9,59,0
0,0,1,1,0,0,0,13,0,2,8,4,11,16,0,0,0,0,0,1,26,13,374,3,2,0
11,1,0,5,3,3,0,7,19,4,24,6,7,0,0,2,0,0,3,0,1,13,8,253,100,2
1,0,0,1,0,2,0,2,11,6,21,17,2,2,0,1,0,0,0,6,0,40,13,23,305,0
0,23,1,20,4,9,0,0,4,39,1,3,4,0,0,9,0,3,1,31,0,0,0,4,4,307
